"Município";"Óbitos p/Residênc"
"241410 Tenente Ananias";1
"241415 Tenente Laurentino Cruz";1
"241105 Tibau";4
"241420 Tibau do Sul";6
"241440 Touros";14
"241450 Umarizal";16
"241460 Upanema";4
"241475 Venha-Ver";2
"241480 Vera Cruz";13
"241490 Viçosa";2
"250010 Água Branca";1
"250030 Alagoa Grande";3
"250040 Alagoa Nova";3
"250050 Alagoinha";2
"250057 Algodão de Jandaíra";4
"250060 Alhandra";7
"250073 Amparo";1
"250077 Aparecida";1
"250080 Araçagi";4
"250090 Arara";1
"250100 Araruna";4
"250110 Areia";5
"250120 Areial";2
"250130 Aroeiras";12
"250135 Assunção";1
"250140 Baía da Traição";1
"250150 Bananeiras";4
"250153 Baraúna";2
"250160 Barra de Santa Rosa";4
"250157 Barra de Santana";3
"250180 Bayeux";57
"250190 Belém";5
"250200 Belém do Brejo do Cruz";3
"250215 Boa Vista";1
"250230 Bom Sucesso";1
"250240 Bonito de Santa Fé";2
"250250 Boqueirão";2
"250270 Borborema";1
"250280 Brejo do Cruz";12
"250290 Brejo dos Santos";7
"250300 Caaporã";13
"250310 Cabaceiras";1
"250320 Cabedelo";9
"250330 Cachoeira dos Índios";2
"250340 Cacimba de Areia";1
"250350 Cacimba de Dentro";4
"250355 Cacimbas";3
"250360 Caiçara";2
"250370 Cajazeiras";5
"250380 Caldas Brandão";2
"250390 Camalaú";1
"250400 Campina Grande";68
"250403 Capim";2
"250407 Caraúbas";1
"250420 Catingueira";3
"250430 Catolé do Rocha";32
"250440 Conceição";3
"250450 Condado";4
"250460 Conde";14
"250470 Congo";2
"250480 Coremas";3
"250490 Cruz do Espírito Santo";9
"250500 Cubati";4
"250510 Cuité";5
"250523 Cuité de Mamanguape";2
"250535 Damião";2
"250540 Desterro";4
"250560 Diamante";2
"250570 Dona Inês";1
"250600 Esperança";6
"250610 Fagundes";7
"250625 Gado Bravo";1
"250630 Guarabira";12
"250640 Gurinhém";4
"250660 Ibiara";1
"250670 Imaculada";5
"250680 Ingá";5
"250690 Itabaiana";11
"250700 Itaporanga";8
"250710 Itapororoca";8
"250720 Itatuba";5
"250730 Jacaraú";8
"250740 Jericó";3
"250750 João Pessoa";237
"250770 Juazeirinho";7
"250780 Junco do Seridó";1
"250790 Juripiranga";5
"250800 Juru";1
"250810 Lagoa";2
"250820 Lagoa de Dentro";3
"250830 Lagoa Seca";4
"250850 Livramento";1
"250855 Logradouro";1
"250860 Lucena";5
"250890 Mamanguape";15
"250900 Manaíra";1
"250905 Marcação";6
"250910 Mari";5
"250920 Massaranduba";4
"250933 Matinhas";1
"250939 Maturéia";3
"250940 Mogeiro";2
"250960 Monte Horebe";1
"250970 Monteiro";15
"250980 Mulungu";2
"250990 Natuba";7
"251010 Nova Floresta";5
"251020 Nova Olinda";1
"251050 Olivedos";1
"251065 Parari";3
"251070 Passagem";2
"251080 Patos";34
"251090 Paulista";2
"251100 Pedra Branca";1
"251120 Pedras de Fogo";18
"251130 Piancó";5
"251140 Picuí";6
"251150 Pilar";4
"251160 Pilões";2
"251170 Pilõezinhos";1
"251180 Pirpirituba";2
"251190 Pitimbu";14
"251200 Pocinhos";4
"251207 Poço de José de Moura";1
"251210 Pombal";6
"251230 Princesa Isabel";6
"251240 Puxinanã";4
"251250 Queimadas";15
"251270 Remígio";5
"251275 Riachão do Bacamarte";1
"251276 Riachão do Poço";4
"251290 Rio Tinto";8
"251310 Salgado de São Félix";3
"251315 Santa Cecília";3
"251320 Santa Cruz";3
"251335 Santa Inês";1
"251340 Santa Luzia";2
"251370 Santa Rita";77
"251380 Santa Teresinha";1
"251350 Santana de Mangueira";1
"251360 Santana dos Garrotes";1
"251385 Santo André";1
"251390 São Bento";13
"251398 São Francisco";1
"251400 São João do Cariri";2
"250070 São João do Rio do Peixe";1
"251410 São João do Tigre";1
"251430 São José de Caiana";1
"251450 São José de Piranhas";3
"251460 São José do Bonfim";3
"251490 São Mamede";1
"251500 São Miguel de Taipu";4
"251510 São Sebastião de Lagoa de Roça";1
"251520 São Sebastião do Umbuzeiro";2
"251540 São Vicente do Seridó";5
"251530 Sapé";16
"251550 Serra Branca";3
"251570 Serra Grande";1
"251597 Sobrado";2
"251600 Solânea";6
"251610 Soledade";4
"251620 Sousa";13
"251630 Sumé";2
"251640 Tacima";1
"251650 Taperoá";6
"251660 Tavares";2
"251670 Teixeira";9
"251690 Uiraúna";2
"251700 Umbuzeiro";3
"251710 Várzea";1
"250000 Município ignorado - PB";11
"260005 Abreu e Lima";39
"260010 Afogados da Ingazeira";7
"260030 Agrestina";13
"260040 Água Preta";9
"260050 Águas Belas";14
"260060 Alagoinha";9
"260070 Aliança";14
"260080 Altinho";12
"260090 Amaraji";18
"260100 Angelim";3
"260105 Araçoiaba";11
"260110 Araripina";19
"260120 Arcoverde";12
"260130 Barra de Guabiraba";9
"260140 Barreiros";27
"260150 Belém de Maria";8
"260160 Belém do São Francisco";6
"260170 Belo Jardim";27
"260180 Betânia";4
"260190 Bezerros";27
"260200 Bodocó";4
"260210 Bom Conselho";13
"260220 Bom Jardim";21
"260230 Bonito";22
"260240 Brejão";4
"260250 Brejinho";2
"260260 Brejo da Madre de Deus";16
"260270 Buenos Aires";8
"260280 Buíque";13
"260290 Cabo de Santo Agostinho";160
"260300 Cabrobó";3
"260310 Cachoeirinha";1
"260320 Caetés";7
"260330 Calçado";3
"260340 Calumbi";5
"260345 Camaragibe";66
"260350 Camocim de São Félix";9
"260360 Camutanga";5
"260370 Canhotinho";9
"260380 Capoeiras";2
"260390 Carnaíba";4
"260392 Carnaubeira da Penha";4
"260400 Carpina";34
"260410 Caruaru";127
"260415 Casinhas";13
"260420 Catende";26
"260430 Cedro";1
"260440 Chã de Alegria";9
"260450 Chã Grande";10
"260460 Condado";10
"260470 Correntes";4
"260480 Cortês";12
"260490 Cumaru";6
"260500 Cupira";15
"260510 Custódia";19
"260515 Dormentes";7
"260520 Escada";71
"260530 Exu";7
"260540 Feira Nova";12
"260550 Ferreiros";4
"260560 Flores";8
"260570 Floresta";7
"260580 Frei Miguelinho";1
"260590 Gameleira";17
"260600 Garanhuns";69
"260610 Glória do Goitá";13
"260620 Goiana";27
"260640 Gravatá";44
"260650 Iati";7
"260660 Ibimirim";11
"260670 Ibirajuba";3
"260680 Igarassu";66
"260760 Ilha de Itamaracá";17
"260700 Inajá";8
"260710 Ingazeira";1
"260720 Ipojuca";50
"260730 Ipubi";8
"260740 Itacuruba";1
"260750 Itaíba";8
"260765 Itambé";15
"260770 Itapetim";4
"260775 Itapissuma";11
"260780 Itaquitinga";4
"260790 Jaboatão dos Guararapes";275
"260795 Jaqueira";3
"260800 Jataúba";4
"260805 Jatobá";2
"260810 João Alfredo";15
"260820 Joaquim Nabuco";4
"260825 Jucati";3
"260830 Jupi";3
"260840 Jurema";12
"260850 Lagoa de Itaenga";18
"260845 Lagoa do Carro";14
"260860 Lagoa do Ouro";4
"260870 Lagoa dos Gatos";1
"260875 Lagoa Grande";7
"260880 Lajedo";22
"260890 Limoeiro";6
"260900 Macaparana";9
"260910 Machados";3
"260915 Manari";8
"260920 Maraial";5
"260930 Mirandiba";8
"260940 Moreno";33
"260950 Nazaré da Mata";14
"260960 Olinda";127
"260970 Orobó";2
"260980 Orocó";7
"260990 Ouricuri";10
"261000 Palmares";52
"261010 Palmeirina";1
"261020 Panelas";12
"261030 Paranatama";8
"261050 Passira";14
"261060 Paudalho";25
"261070 Paulista";76
"261080 Pedra";5
"261090 Pesqueira";22
"261100 Petrolândia";6
"261110 Petrolina";117
"261120 Poção";3
"261130 Pombos";14
"261140 Primavera";10
"261150 Quipapá";11
"261160 Recife";620
"261170 Riacho das Almas";6
"261180 Ribeirão";24
"261190 Rio Formoso";13
"261200 Sairé";6
"261210 Salgadinho";1
"261220 Salgueiro";23
"261230 Saloá";1
"261240 Sanharó";10
"261245 Santa Cruz";5
"261247 Santa Cruz da Baixa Verde";3
"261250 Santa Cruz do Capibaribe";36
"261260 Santa Maria da Boa Vista";12
"261270 Santa Maria do Cambucá";6
"261280 Santa Terezinha";2
"261290 São Benedito do Sul";4
"261300 São Bento do Una";15
"261310 São Caitano";21
"261320 São João";5
"261330 São Joaquim do Monte";15
"261340 São José da Coroa Grande";9
"261350 São José do Belmonte";8
"261360 São José do Egito";11
"261370 São Lourenço da Mata";40
"261380 São Vicente Ferrer";18
"261390 Serra Talhada";28
"261410 Sertânia";16
"261420 Sirinhaém";25
"261440 Solidão";1
"261450 Surubim";17
"261460 Tabira";10
"261470 Tacaimbó";5
"261480 Tacaratu";6
"261485 Tamandaré";10
"261500 Taquaritinga do Norte";9
"261520 Terra Nova";2
"261530 Timbaúba";35
"261540 Toritama";18
"261550 Tracunhaém";7
"261560 Trindade";8
"261570 Triunfo";3
"261580 Tupanatinga";1
"261590 Tuparetama";2
"261600 Venturosa";7
"261610 Verdejante";4
"261620 Vertentes";4
"261630 Vicência";15
"261640 Vitória de Santo Antão";90
"261650 Xexéu";7
"260000 Município ignorado - PE";87
"270010 Água Branca";1
"270020 Anadia";3
"270030 Arapiraca";88
"270040 Atalaia";22
"270050 Barra de Santo Antônio";12
"270060 Barra de São Miguel";4
"270070 Batalha";10
"270080 Belém";2
"270100 Boca da Mata";16
"270110 Branquinha";2
"270120 Cacimbinhas";2
"270130 Cajueiro";11
"270135 Campestre";1
"270140 Campo Alegre";13
"270150 Campo Grande";2
"270160 Canapi";15
"270170 Capela";8
"270190 Chã Preta";1
"270200 Coité do Nóia";2
"270210 Colônia Leopoldina";19
"270220 Coqueiro Seco";3
"270230 Coruripe";9
"270235 Craíbas";6
"270240 Delmiro Gouveia";8
"270250 Dois Riachos";5
"270255 Estrela de Alagoas";2
"270260 Feira Grande";3
"270270 Feliz Deserto";5
"270280 Flexeiras";12
"270290 Girau do Ponciano";3
"270300 Ibateguara";9
"270310 Igaci";11
"270320 Igreja Nova";5
"270330 Inhapi";3
"270340 Jacaré dos Homens";4
"270350 Jacuípe";1
"270360 Japaratinga";2
"270370 Jaramataia";2
"270375 Jequiá da Praia";6
"270380 Joaquim Gomes";7
"270390 Jundiá";3
"270400 Junqueiro";11
"270410 Lagoa da Canoa";8
"270420 Limoeiro de Anadia";5
"270430 Maceió";366
"270440 Major Isidoro";9
"270490 Mar Vermelho";1
"270450 Maragogi";18
"270460 Maravilha";5
"270470 Marechal Deodoro";14
"270480 Maribondo";11
"270500 Mata Grande";8
"270510 Matriz de Camaragibe";12
"270520 Messias";4
"270540 Monteirópolis";2
"270550 Murici";13
"270560 Novo Lino";3
"270570 Olho d'Água das Flores";4
"270580 Olho d'Água do Casado";4
"270600 Olivença";3
"270610 Ouro Branco";1
"270630 Palmeira dos Índios";27
"270640 Pão de Açúcar";3
"270644 Paripueira";4
"270650 Passo de Camaragibe";9
"270660 Paulo Jacinto";3
"270670 Penedo";20
"270680 Piaçabuçu";7
"270690 Pilar";18
"270710 Piranhas";3
"270720 Poço das Trincheiras";4
"270730 Porto Calvo";12
"270740 Porto de Pedras";2
"270750 Porto Real do Colégio";3
"270770 Rio Largo";40
"270780 Roteiro";8
"270790 Santa Luzia do Norte";1
"270800 Santana do Ipanema";11
"270810 Santana do Mundaú";1
"270820 São Brás";1
"270830 São José da Laje";10
"270840 São José da Tapera";7
"270850 São Luís do Quitunde";18
"270860 São Miguel dos Campos";26
"270870 São Miguel dos Milagres";1
"270880 São Sebastião";20
"270890 Satuba";7
"270895 Senador Rui Palmeira";5
"270900 Tanque d'Arca";2
"270910 Taquarana";14
"270915 Teotônio Vilela";14
"270920 Traipu";9
"270930 União dos Palmares";38
"270940 Viçosa";11
"280020 Aquidabã";5
"280030 Aracaju";291
"280050 Areia Branca";14
"280060 Barra dos Coqueiros";23
"280067 Boquim";9
"280070 Brejo Grande";8
"280100 Campo do Brito";6
"280120 Canindé de São Francisco";14
"280130 Capela";14
"280140 Carira";5
"280150 Carmópolis";3
"280170 Cristinápolis";12
"280200 Divina Pastora";3
"280210 Estância";21
"280220 Feira Nova";2
"280230 Frei Paulo";2
"280240 Gararu";2
"280250 General Maynard";2
"280260 Gracho Cardoso";1
"280270 Ilha das Flores";7
"280280 Indiaroba";3
"280290 Itabaiana";69
"280300 Itabaianinha";14
"280310 Itabi";2
"280320 Itaporanga d'Ajuda";14
"280330 Japaratuba";7
"280340 Japoatã";3
"280350 Lagarto";39
"280360 Laranjeiras";12
"280370 Macambira";2
"280380 Malhada dos Bois";2
"280390 Malhador";8
"280400 Maruim";5
"280410 Moita Bonita";2
"280420 Monte Alegre de Sergipe";2
"280430 Muribeca";7
"280440 Neópolis";7
"280445 Nossa Senhora Aparecida";2
"280450 Nossa Senhora da Glória";11
"280460 Nossa Senhora das Dores";13
"280470 Nossa Senhora de Lourdes";1
"280480 Nossa Senhora do Socorro";113
"280490 Pacatuba";7
"280500 Pedra Mole";2
"280510 Pedrinhas";1
"280520 Pinhão";3
"280530 Pirambu";7
"280540 Poço Redondo";8
"280550 Poço Verde";5
"280560 Porto da Folha";7
"280570 Propriá";14
"280580 Riachão do Dantas";3
"280590 Riachuelo";7
"280600 Ribeirópolis";7
"280610 Rosário do Catete";2
"280620 Salgado";3
"280630 Santa Luzia do Itanhy";3
"280650 Santa Rosa de Lima";6
"280640 Santana do São Francisco";2
"280660 Santo Amaro das Brotas";5
"280670 São Cristóvão";45
"280680 São Domingos";2
"280690 São Francisco";2
"280700 São Miguel do Aleixo";1
"280710 Simão Dias";13
"280720 Siriri";9
"280730 Telha";1
"280740 Tobias Barreto";11
"280750 Tomar do Geru";5
"280760 Umbaúba";12
"280000 Município ignorado - SE";1
"290010 Abaíra";1
"290020 Abaré";5
"290030 Acajutiba";14
"290035 Adustina";3
"290040 Água Fria";10
"290070 Alagoinhas";90
"290080 Alcobaça";11
"290090 Almadina";7
"290100 Amargosa";9
"290110 Amélia Rodrigues";9
"290115 América Dourada";5
"290130 Andaraí";8
"290135 Andorinha";3
"290140 Angical";3
"290150 Anguera";2
"290160 Antas";4
"290170 Antônio Cardoso";5
"290180 Antônio Gonçalves";7
"290190 Aporá";9
"290205 Araças";4
"290200 Aracatu";3
"290210 Araci";14
"290220 Aramari";5
"290225 Arataca";11
"290230 Aratuípe";6
"290240 Aurelino Leal";13
"290250 Baianópolis";3
"290260 Baixa Grande";10
"290270 Barra";6
"290280 Barra da Estiva";4
"290290 Barra do Choça";21
"290300 Barra do Mendes";1
"290310 Barra do Rocha";3
"290320 Barreiras";64
"290323 Barro Alto";2
"290330 Barro Preto";5
"290340 Belmonte";17
"290350 Belo Campo";2
"290360 Biritinga";3
"290370 Boa Nova";3
"290380 Boa Vista do Tupim";6
"290390 Bom Jesus da Lapa";27
"290395 Bom Jesus da Serra";2
"290405 Bonito";4
"290410 Boquira";1
"290440 Brejolândia";1
"290450 Brotas de Macaúbas";1
"290460 Brumado";10
"290470 Buerarema";4
"290475 Buritirama";6
"290480 Caatiba";1
"290485 Cabaceiras do Paraguaçu";7
"290490 Cachoeira";18
"290500 Caculé";3
"290510 Caém";2
"290520 Caetité";8
"290530 Cafarnaum";1
"290540 Cairu";7
"290550 Caldeirão Grande";2
"290560 Camacan";16
"290570 Camaçari";213
"290580 Camamu";28
"290590 Campo Alegre de Lourdes";3
"290600 Campo Formoso";30
"290610 Canápolis";2
"290620 Canarana";4
"290630 Canavieiras";17
"290640 Candeal";5
"290650 Candeias";55
"290660 Candiba";3
"290670 Cândido Sales";6
"290680 Cansanção";12
"290682 Canudos";5
"290685 Capela do Alto Alegre";3
"290687 Capim Grosso";23
"290689 Caraíbas";1
"290690 Caravelas";10
"290700 Cardeal da Silva";2
"290710 Carinhanha";6
"290720 Casa Nova";23
"290730 Castro Alves";17
"290740 Catolândia";1
"290750 Catu";20
"290755 Caturama";1
"290760 Central";4
"290770 Chorrochó";2
"290780 Cícero Dantas";19
"290790 Cipó";3
"290800 Coaraci";4
"290810 Cocos";1
"290820 Conceição da Feira";20
"290830 Conceição do Almeida";1
"290840 Conceição do Coité";34
"290850 Conceição do Jacuípe";19
"290860 Conde";1
"290870 Condeúba";4
"290890 Coração de Maria";11
"290910 Coribe";2
"290920 Coronel João Sá";4
"290930 Correntina";8
"290940 Cotegipe";2
"290960 Crisópolis";4
"290970 Cristópolis";2
"290980 Cruz das Almas";23
"290990 Curaçá";15
"291000 Dário Meira";4
"291005 Dias d'Ávila";72
"291030 Elísio Medrado";1
"291040 Encruzilhada";10
"291050 Entre Rios";25
"290050 Érico Cardoso";1
"291060 Esplanada";17
"291070 Euclides da Cunha";10
"291072 Eunápolis";75
"291075 Fátima";4
"291080 Feira de Santana";457
"291085 Filadélfia";3
"291090 Firmino Alves";1
"291100 Floresta Azul";3
"291110 Formosa do Rio Preto";5
"291120 Gandu";15
"291140 Glória";2
"291150 Gongogi";1
"291160 Governador Mangabeira";15
"291170 Guanambi";14
"291180 Guaratinga";5
"291185 Heliópolis";5
"291190 Iaçu";4
"291210 Ibicaraí";17
"291220 Ibicoara";8
"291230 Ibicuí";10
"291270 Ibirapitanga";14
"291280 Ibirapuã";4
"291290 Ibirataia";4
"291300 Ibitiara";1
"291310 Ibititá";1
"291320 Ibotirama";14
"291330 Ichu";1
"291340 Igaporã";2
"291345 Igrapiúna";11
"291350 Iguaí";22
"291360 Ilhéus";106
"291370 Inhambupe";26
"291380 Ipecaetá";6
"291390 Ipiaú";14
"291400 Ipirá";25
"291410 Ipupiara";2
"291430 Iramaia";2
"291440 Iraquara";3
"291450 Irará";11
"291460 Irecê";21
"291465 Itabela";29
"291470 Itaberaba";30
"291480 Itabuna";124
"291490 Itacaré";15
"291500 Itaeté";2
"291510 Itagi";3
"291520 Itagibá";2
"291530 Itagimirim";3
"291535 Itaguaçu da Bahia";1
"291540 Itaju do Colônia";11
"291550 Itajuípe";10
"291560 Itamaraju";44
"291570 Itamari";2
"291580 Itambé";4
"291590 Itanagra";5
"291600 Itanhém";7
"291610 Itaparica";16
"291620 Itapé";2
"291630 Itapebi";2
"291640 Itapetinga";32
"291650 Itapicuru";16
"291660 Itapitanga";4
"291670 Itaquara";2
"291680 Itarantim";9
"291685 Itatim";1
"291700 Itiúba";10
"291710 Itororó";6
"291720 Ituaçu";1
"291730 Ituberá";9
"291733 Iuiú";2
"291735 Jaborandi";2
"291740 Jacaraci";1
"291750 Jacobina";26
"291760 Jaguaquara";4
"291770 Jaguarari";6
"291780 Jaguaripe";6
"291790 Jandaíra";2
"291800 Jequié";49
"291810 Jeremoabo";7
"291820 Jiquiriçá";1
"291830 Jitaúna";5
"291835 João Dourado";3
"291840 Juazeiro";105
"291845 Jucuruçu";1
"291850 Jussara";3
"291855 Jussari";10
"291880 Laje";12
"291890 Lajedão";1
"291910 Lamarão";3
"291915 Lapão";6
"291920 Lauro de Freitas";97
"291930 Lençóis";8
"291940 Licínio de Almeida";3
"291950 Livramento de Nossa Senhora";3
"291955 Luís Eduardo Magalhães";25
"291960 Macajuba";4
"291970 Macarani";7
"291980 Macaúbas";9
"291992 Madre de Deus";4
"291995 Maetinga";1
"292000 Maiquinique";1
"292010 Mairi";14
"292020 Malhada";1
"292030 Malhada de Pedras";1
"292040 Manoel Vitorino";3
"292050 Maracás";4
"292060 Maragogipe";13
"292070 Maraú";9
"292080 Marcionílio Souza";3
"292090 Mascote";7
"292100 Mata de São João";30
"292105 Matina";1
"292110 Medeiros Neto";9
"292120 Miguel Calmon";15
"292130 Milagres";5
"292145 Mirante";2
"292150 Monte Santo";13
"292160 Morpará";1
"292170 Morro do Chapéu";12
"292180 Mortugaba";1
"292190 Mucugê";1
"292200 Mucuri";16
"292205 Mulungu do Morro";3
"292210 Mundo Novo";4
"292220 Muniz Ferreira";1
"292225 Muquém de São Francisco";3
"292230 Muritiba";19
"292240 Mutuípe";7
"292250 Nazaré";10
"292260 Nilo Peçanha";6
"292265 Nordestina";3
"292270 Nova Canaã";1
"292273 Nova Fátima";3
"292275 Nova Ibiá";1
"292285 Nova Redenção";1
"292290 Nova Soure";11
"292300 Nova Viçosa";24
"292305 Novo Triunfo";1
"292310 Olindina";7
"292320 Oliveira dos Brejinhos";3
"292330 Ouriçangas";1
"292335 Ourolândia";4
"292340 Palmas de Monte Alto";1
"292350 Palmeiras";3
"292360 Paramirim";2
"292370 Paratinga";3
"292380 Paripiranga";3
"292390 Pau Brasil";14
"292400 Paulo Afonso";46
"292405 Pé de Serra";5
"292410 Pedrão";2
"292420 Pedro Alexandre";4
"292430 Piatã";1
"292440 Pilão Arcado";3
"292450 Pindaí";6
"292460 Pindobaçu";7
"292465 Pintadas";2
"292467 Piraí do Norte";2
"292470 Piripá";2
"292480 Piritiba";7
"292500 Planalto";7
"292510 Poções";15
"292520 Pojuca";27
"292525 Ponto Novo";11
"292530 Porto Seguro";89
"292540 Potiraguá";3
"292550 Prado";19
"292560 Presidente Dutra";5
"292570 Presidente Jânio Quadros";1
"292575 Presidente Tancredo Neves";9
"292580 Queimadas";5
"292590 Quijingue";9
"292593 Quixabeira";1
"292595 Rafael Jambeiro";9
"292600 Remanso";7
"292610 Retirolândia";8
"292620 Riachão das Neves";7
"292630 Riachão do Jacuípe";14
"292640 Riacho de Santana";7
"292650 Ribeira do Amparo";5
"292660 Ribeira do Pombal";7
"292665 Ribeirão do Largo";1
"292690 Rio do Pires";2
"292700 Rio Real";20
"292710 Rodelas";3
"292720 Ruy Barbosa";10
"292730 Salinas da Margarida";5
"292740 Salvador";1260
"292750 Santa Bárbara";4
"292760 Santa Brígida";1
"292770 Santa Cruz Cabrália";20
"292780 Santa Cruz da Vitória";4
"292790 Santa Inês";2
"292805 Santa Luzia";6
"292810 Santa Maria da Vitória";24
"292840 Santa Rita de Cássia";6
"292850 Santa Teresinha";2
"292800 Santaluz";10
"292820 Santana";2
"292830 Santanópolis";3
"292860 Santo Amaro";54
"292870 Santo Antônio de Jesus";82
"292880 Santo Estêvão";25
"292890 São Desidério";4
"292895 São Domingos";9
"292910 São Felipe";5
"292900 São Félix";10
"292905 São Félix do Coribe";6
"292920 São Francisco do Conde";17
"292925 São Gabriel";4
"292930 São Gonçalo dos Campos";13
"292935 São José da Vitória";4
"292937 São José do Jacuípe";6
"292940 São Miguel das Matas";2
"292950 São Sebastião do Passé";28
"292960 Sapeaçu";12
"292970 Sátiro Dias";10
"292975 Saubara";7
"292980 Saúde";5
"292990 Seabra";8
"293000 Sebastião Laranjeiras";1
"293010 Senhor do Bonfim";39
"293020 Sento Sé";5
"293015 Serra do Ramalho";10
"293030 Serra Dourada";3
"293040 Serra Preta";6
"293050 Serrinha";38
"293060 Serrolândia";13
"293070 Simões Filho";80
"293075 Sítio do Mato";1
"293076 Sítio do Quinto";7
"293077 Sobradinho";8
"293080 Souto Soares";5
"293100 Tanhaçu";1
"293110 Tanquinho";10
"293120 Taperoá";11
"293130 Tapiramutá";5
"293135 Teixeira de Freitas";75
"293140 Teodoro Sampaio";2
"293150 Teofilândia";6
"293160 Teolândia";9
"293170 Terra Nova";15
"293190 Tucano";19
"293200 Uauá";3
"293210 Ubaíra";5
"293220 Ubaitaba";15
"293230 Ubatã";7
"293240 Uibaí";2
"293245 Umburanas";3
"293250 Una";3
"293260 Urandi";7
"293270 Uruçuca";19
"293280 Utinga";6
"293290 Valença";57
"293300 Valente";10
"293305 Várzea da Roça";16
"293310 Várzea do Poço";5
"293315 Várzea Nova";8
"293317 Varzedo";2
"293320 Vera Cruz";43
"293325 Vereda";1
"293330 Vitória da Conquista";158
"293340 Wagner";4
"293345 Wanderley";2
"293350 Wenceslau Guimarães";30
"293360 Xique-Xique";15
"290000 Município ignorado - BA";100
"310010 Abadia dos Dourados";1
"310030 Abre Campo";1
"310040 Acaiaca";1
"310060 Água Boa";1
"310090 Águas Formosas";11
"310110 Aimorés";8
"310140 Albertina";1
"310150 Além Paraíba";8
"310160 Alfenas";4
"310170 Almenara";3
"310180 Alpercata";5
"310190 Alpinópolis";1
"310200 Alterosa";3
"310220 Alvarenga";1
"310260 Andradas";3
"310280 Andrelândia";1
"310300 Antônio Dias";2
"310340 Araçuaí";4
"310350 Araguari";19
"310360 Arantina";2
"310370 Araponga";1
"310390 Araújos";1
"310400 Araxá";10
"310420 Arcos";4
"310450 Arinos";4
"310460 Astolfo Dutra";1
"310500 Baldim";3
"310510 Bambuí";2
"310520 Bandeira";2
"310530 Bandeira do Sul";1
"310540 Barão de Cocais";2
"310560 Barbacena";17
"310600 Bela Vista de Minas";2
"310620 Belo Horizonte";322
"310630 Belo Oriente";5
"310640 Belo Vale";1
"310665 Berizal";2
"310660 Bertópolis";1
"310670 Betim";102
"310690 Bicas";3
"310710 Boa Esperança";7
"310730 Bocaiúva";4
"310740 Bom Despacho";8
"310750 Bom Jardim de Minas";1
"310780 Bom Jesus do Galho";4
"310800 Bom Sucesso";4
"310810 Bonfim";1
"310830 Borda da Mata";1
"310840 Botelhos";1
"310850 Botumirim";1
"310870 Brás Pires";3
"310855 Brasilândia de Minas";1
"310860 Brasília de Minas";2
"310900 Brumadinho";7
"310920 Buenópolis";1
"310925 Bugre";1
"310930 Buritis";5
"310940 Buritizeiro";3
"310945 Cabeceira Grande";2
"310950 Cabo Verde";2
"310970 Cachoeira de Minas";1
"310270 Cachoeira de Pajeú";1
"310980 Cachoeira Dourada";1
"310990 Caetanópolis";2
"311000 Caeté";4
"311020 Cajuri";1
"311030 Caldas";1
"311050 Camanducaia";1
"311060 Cambuí";1
"311070 Cambuquira";1
"311080 Campanário";1
"311100 Campestre";1
"311110 Campina Verde";4
"311120 Campo Belo";4
"311140 Campo Florido";1
"311150 Campos Altos";4
"311160 Campos Gerais";4
"311180 Canápolis";2
"311205 Cantagalo";2
"311230 Capelinha";2
"311250 Capim Branco";1
"311260 Capinópolis";1
"311270 Capitão Enéas";1
"311290 Caputira";2
"311300 Caraí";5
"311320 Carandaí";2
"311330 Carangola";2
"311340 Caratinga";17
"311370 Carlos Chagas";5
"311400 Carmo da Mata";1
"311420 Carmo do Cajuru";1
"311430 Carmo do Paranaíba";4
"311440 Carmo do Rio Claro";1
"311450 Carmópolis de Minas";1
"311530 Cataguases";9
"311540 Catas Altas da Noruega";1
"311545 Catuji";5
"311570 Central de Minas";1
"311600 Chalé";2
"311615 Chapada Gaúcha";3
"311630 Cipotânea";3
"311650 Claro dos Poções";2
"311660 Cláudio";2
"311690 Comendador Gomes";1
"311700 Comercinho";1
"311710 Conceição da Aparecida";1
"311520 Conceição da Barra de Minas";1
"311730 Conceição das Alagoas";9
"311740 Conceição de Ipanema";1
"311750 Conceição do Mato Dentro";4
"311780 Conceição dos Ouros";2
"311783 Cônego Marinho";1
"311787 Confins";1
"311800 Congonhas";5
"311830 Conselheiro Lafaiete";8
"311840 Conselheiro Pena";5
"311860 Contagem";96
"311880 Coração de Jesus";1
"311890 Cordisburgo";1
"311910 Corinto";1
"311920 Coroaci";1
"311930 Coromandel";3
"311940 Coronel Fabriciano";25
"312015 Crisólita";1
"312030 Cristália";3
"312083 Cuparaque";1
"312090 Curvelo";26
"312110 Delfim Moreira";2
"312120 Delfinópolis";1
"312160 Diamantina";4
"312190 Divinésia";1
"312200 Divino";4
"312230 Divinópolis";31
"312235 Divisa Alegre";3
"312245 Divisópolis";1
"312250 Dom Cavati";2
"312260 Dom Joaquim";2
"312270 Dom Silvério";1
"312290 Dona Eusébia";1
"312300 Dores de Campos";1
"312310 Dores de Guanhães";1
"312320 Dores do Indaiá";3
"312340 Doresópolis";1
"312352 Durandé";2
"312360 Elói Mendes";5
"312370 Engenheiro Caldas";3
"312390 Entre Rios de Minas";1
"312400 Ervália";14
"312410 Esmeraldas";13
"312420 Espera Feliz";2
"312430 Espinosa";2
"312450 Estiva";1
"312510 Extrema";2
"312530 Faria Lemos";1
"312540 Felício dos Santos";1
